TransactionNo,CustomerNo,TotalPrice
581492,15492,12.38
581492,15492,12.38
581492,15492,18.57
581492,15492,6.19
581492,15492,18.57
581492,15492,37.14
581492,15492,55.71
581492,15492,24.76
581492,15492,18.57
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,12.38
581492,15492,24.76
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,55.71
581492,15492,18.12
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,18.57
581492,15492,6.04
581492,15492,12.08
581492,15492,6.04
581492,15492,6.04
581492,15492,24.16
581492,15492,12.08
581492,15492,37.14
581492,15492,24.76
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,74.28
581492,15492,6.19
581492,15492,30.95
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,43.33
581492,15492,12.38
581492,15492,18.57
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,74.28
581492,15492,24.76
581492,15492,6.04
581492,15492,6.19
581492,15492,14.48
581492,15492,21.72
581492,15492,7.24
581492,15492,14.48
581492,15492,36.2
581492,15492,43.44
581492,15492,6.19
581492,15492,18.57
581492,15492,7.24
581492,15492,21.72
581492,15492,14.48
581492,15492,14.48
581492,15492,7.24
581492,15492,14.48
581492,15492,7.24
581492,15492,7.24
581492,15492,6.39
581492,15492,21.72
581492,15492,21.72
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,12.38
581492,15492,191.89
581492,15492,6.19
581492,15492,24.76
581492,15492,24.76
581492,15492,30.95
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,99.04
581492,15492,18.12
581492,15492,108.72
581492,15492,18.12
581492,15492,24.16
581492,15492,6.04
581492,15492,6.04
581492,15492,6.04
581492,15492,18.12
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,18.57
581492,15492,24.76
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,24.76
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,49.52
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,105.23
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,36.24
581492,15492,24.16
581492,15492,12.08
581492,15492,12.08
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,12.38
581492,15492,99.04
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,68.09
581492,15492,18.57
581492,15492,7.24
581492,15492,7.24
581492,15492,14.48
581492,15492,7.24
581492,15492,14.48
581492,15492,6.39
581492,15492,7.24
581492,15492,14.48
581492,15492,43.44
581492,15492,36.2
581492,15492,28.96
581492,15492,14.48
581492,15492,101.36
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,37.14
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,30.95
581492,15492,6.19
581492,15492,18.57
581492,15492,154.75
581492,15492,43.33
581492,15492,18.57
581492,15492,74.28
581492,15492,6.19
581492,15492,6.19
581492,15492,12.08
581492,15492,6.19
581492,15492,12.38
581492,15492,24.76
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,55.71
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,12.38
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,49.52
581492,15492,49.52
581492,15492,18.57
581492,15492,18.57
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,49.52
581492,15492,24.76
581492,15492,6.19
581492,15492,6.19
581492,15492,235.22
581492,15492,6.19
581492,15492,18.57
581492,15492,24.76
581492,15492,6.19
581492,15492,61.9
581492,15492,12.08
581492,15492,12.08
581492,15492,18.12
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,30.95
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,43.33
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,43.33
581492,15492,12.38
581492,15492,24.76
581492,15492,37.14
581492,15492,6.19
581492,15492,12.38
581492,15492,14.48
581492,15492,14.48
581492,15492,21.72
581492,15492,50.68
581492,15492,28.96
581492,15492,65.16
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,14.48
581492,15492,43.33
581492,15492,30.95
581492,15492,14.48
581492,15492,21.72
581492,15492,7.24
581492,15492,7.24
581492,15492,79.64
581492,15492,246.16
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,28.96
581492,15492,28.96
581492,15492,7.24
581492,15492,12.78
581492,15492,7.24
581492,15492,7.24
581492,15492,14.48
581492,15492,7.24
581492,15492,36.2
581492,15492,28.96
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,14.48
581492,15492,14.48
581492,15492,14.48
581492,15492,21.72
581492,15492,14.48
581492,15492,12.38
581492,15492,24.76
581492,15492,105.23
581492,15492,43.33
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,30.95
581492,15492,24.76
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,55.71
581492,15492,18.57
581492,15492,6.19
581492,15492,12.38
581492,15492,6.04
581492,15492,18.57
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.04
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.04
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,12.38
581492,15492,24.76
581492,15492,7.24
581492,15492,7.24
581492,15492,50.68
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,36.2
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,21.72
581492,15492,14.48
581492,15492,14.48
581492,15492,21.72
581492,15492,21.72
581492,15492,14.48
581492,15492,21.72
581492,15492,36.2
581492,15492,28.96
581492,15492,21.72
581492,15492,28.96
581492,15492,12.78
581492,15492,36.2
581492,15492,21.72
581492,15492,28.96
581492,15492,137.56
581492,15492,65.16
581492,15492,79.64
581492,15492,14.48
581492,15492,14.48
581492,15492,43.44
581492,15492,7.24
581492,15492,21.72
581492,15492,12.78
581492,15492,21.72
581492,15492,65.16
581492,15492,28.96
581492,15492,30.95
581492,15492,12.38
581492,15492,18.57
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,24.76
581492,15492,18.57
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,99.04
581492,15492,12.38
581492,15492,6.19
581492,15492,30.95
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,30.95
581492,15492,37.14
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,18.57
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,24.76
581492,15492,24.76
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,55.71
581492,15492,111.42
581492,15492,12.38
581492,15492,30.95
581492,15492,43.44
581492,15492,21.72
581492,15492,21.72
581492,15492,14.48
581492,15492,21.72
581492,15492,28.96
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,7.24
581492,15492,14.48
581492,15492,21.72
581492,15492,7.24
581492,15492,6.39
581492,15492,36.2
581492,15492,50.68
581492,15492,7.24
581492,15492,43.44
581492,15492,43.44
581492,15492,7.24
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,55.71
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,24.76
581492,15492,37.14
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,18.57
581492,15492,18.57
581492,15492,24.76
581492,15492,30.95
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,24.76
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,30.95
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,352.83
581492,15492,6.19
581492,15492,24.76
581492,15492,18.57
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,12.38
581492,15492,37.14
581492,15492,18.57
581492,15492,43.33
581492,15492,43.33
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,24.76
581492,15492,18.57
581492,15492,6.19
581492,15492,43.33
581492,15492,18.57
581492,15492,18.57
581492,15492,18.57
581492,15492,12.38
581492,15492,18.57
581492,15492,12.38
581492,15492,12.38
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,24.76
581492,15492,12.38
581492,15492,6.19
581492,15492,18.57
581492,15492,37.14
581492,15492,43.33
581492,15492,6.19
581492,15492,12.38
581492,15492,24.76
581492,15492,6.19
581492,15492,37.14
581492,15492,24.76
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,37.14
581492,15492,30.95
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,12.38
581492,15492,30.95
581492,15492,6.19
581492,15492,18.57
581492,15492,24.76
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,30.2
581492,15492,60.4
581492,15492,12.38
581492,15492,18.57
581492,15492,12.38
581492,15492,6.19
581492,15492,43.33
581492,15492,12.38
581492,15492,6.19
581492,15492,12.38
581492,15492,24.76
581492,15492,30.95
581492,15492,12.38
581492,15492,12.08
581492,15492,6.04
581492,15492,6.19
581492,15492,6.19
581492,15492,6.19
581492,15492,18.57
581492,15492,18.57
581492,15492,6.19
581492,15492,6.19
581492,15492,21.72
581493,12423,108.6
581493,12423,108.6
581493,12423,86.88
581493,12423,173.76
581493,12423,86.88
581493,12423,86.88
581493,12423,72.4
581493,12423,86.88
581493,12423,86.88
581493,12423,86.88
581493,12423,72.4
581493,12423,72.4
581493,12423,72.4
581493,12423,130.32
581493,12423,86.88
581493,12423,37.14
581494,12518,148.56
581494,12518,37.14
581494,12518,74.28
581494,12518,74.28
581494,12518,74.28
581494,12518,37.14
581494,12518,24.76
581494,12518,74.28
581494,12518,37.14
581494,12518,123.8
581494,12518,148.56
581494,12518,72.48
581494,12518,72.48
581494,12518,74.28
581494,12518,24.76
581494,12518,24.76
581494,12518,24.76
581495,14051,74.28
581495,14051,74.28
581495,14051,74.28
581495,14051,74.28
581495,14051,108.72
581495,14051,222.84
581495,14051,222.84
581495,14051,61.9
581495,14051,61.9
581495,14051,74.28
581495,14051,111.42
581495,14051,222.84
581495,14051,37.14
581495,14051,61.9
581496,16558,123.8
581496,16558,74.28
581496,16558,74.28
581496,16558,61.9
581496,16558,148.56
581496,16558,72.48
581496,16558,18.57
581496,16558,37.14
581496,16558,154.75
581496,16558,74.28
581496,16558,148.56
581496,16558,148.56
581496,16558,74.28
581496,16558,24.76
581496,16558,37.14
581496,16558,24.76
581496,16558,148.56
581496,16558,74.28
581496,16558,111.42
581496,16558,74.28
581496,16558,49.52
581496,16558,57.92
581496,16558,173.76
581496,16558,173.76
581496,16558,43.44
581496,16558,43.44
581496,16558,86.88
581496,16558,86.88
581496,16558,347.52
581496,16558,347.52
581496,16558,74.28
581496,16558,74.28
581497,17497,204.27
581497,17497,259.98
581497,17497,340.45
581497,17497,50.68
581497,17497,57.92
581497,17497,14.48
581497,17497,181
581497,17497,7.24
581497,17497,7.24
581497,17497,7.24
581497,17497,7.24
581497,17497,7.24
581497,17497,7.24
581497,17497,43.44
581497,17497,7.24
581497,17497,14.48
581497,17497,50.68
581497,17497,36.2
581497,17497,94.12
581497,17497,347.52
581497,17497,492.32
581497,17497,796.4
581497,17497,181
581497,17497,7.24
581497,17497,57.92
581497,17497,21.72
581497,17497,7.24
581497,17497,72.4
581497,17497,36.2
581497,17497,14.48
581497,17497,21.72
581497,17497,7.24
581497,17497,7.24
581497,17497,28.96
581497,17497,7.24
581497,17497,14.48
581497,17497,14.48
581497,17497,7.24
581497,17497,229.03
581497,17497,6.19
581497,17497,78.52
581497,17497,48.32
581497,17497,6.19
581497,17497,222.84
581497,17497,6.19
581497,17497,12.38
581497,17497,12.38
581497,17497,12.38
581497,17497,30.95
581497,17497,24.76
581497,17497,68.09
581497,17497,18.57
581497,17497,12.38
581497,17497,49.52
581497,17497,14.48
581497,17497,18.12
581497,17497,6.04
581497,17497,6.19
581497,17497,18.57
581498,14498,18.57
581498,14498,30.95
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,18.57
581498,14498,24.76
581498,14498,24.76
581498,14498,18.57
581498,14498,12.38
581498,14498,12.38
581498,14498,37.14
581498,14498,12.38
581498,14498,18.57
581498,14498,24.76
581498,14498,80.47
581498,14498,6.19
581498,14498,18.57
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,18.57
581498,14498,43.33
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,55.71
581498,14498,12.38
581498,14498,6.19
581498,14498,30.95
581498,14498,12.38
581498,14498,12.38
581498,14498,24.76
581498,14498,6.19
581498,14498,6.19
581498,14498,43.33
581498,14498,12.38
581498,14498,37.14
581498,14498,6.19
581498,14498,43.33
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,12.38
581498,14498,6.19
581498,14498,12.38
581498,14498,6.19
581498,14498,18.57
581498,14498,12.38
581498,14498,12.38
581498,14498,321.88
581498,14498,12.38
581498,14498,24.76
581498,14498,12.38
581498,14498,43.33
581498,14498,12.38
581498,14498,49.52
581498,14498,12.38
581498,14498,18.57
581498,14498,18.57
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,37.14
581498,14498,6.19
581498,14498,18.57
581498,14498,12.38
581498,14498,6.19
581498,14498,12.38
581498,14498,12.38
581498,14498,24.76
581498,14498,24.76
581498,14498,6.19
581498,14498,12.38
581498,14498,24.76
581498,14498,24.76
581498,14498,37.14
581498,14498,6.19
581498,14498,6.19
581498,14498,43.33
581498,14498,6.19
581498,14498,6.19
581498,14498,14.48
581498,14498,28.96
581498,14498,7.24
581498,14498,14.48
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,28.96
581498,14498,14.48
581498,14498,7.24
581498,14498,7.24
581498,14498,14.48
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,14.48
581498,14498,7.24
581498,14498,28.96
581498,14498,12.38
581498,14498,6.19
581498,14498,68.09
581498,14498,6.04
581498,14498,6.04
581498,14498,6.04
581498,14498,36.24
581498,14498,54.36
581498,14498,37.14
581498,14498,18.57
581498,14498,6.19
581498,14498,30.95
581498,14498,6.19
581498,14498,6.19
581498,14498,12.38
581498,14498,24.76
581498,14498,6.19
581498,14498,12.38
581498,14498,6.19
581498,14498,6.19
581498,14498,12.38
581498,14498,6.19
581498,14498,12.38
581498,14498,30.95
581498,14498,43.33
581498,14498,30.95
581498,14498,24.76
581498,14498,12.38
581498,14498,12.38
581498,14498,6.19
581498,14498,6.19
581498,14498,14.48
581498,14498,36.2
581498,14498,28.96
581498,14498,36.2
581498,14498,24.76
581498,14498,6.19
581498,14498,6.19
581498,14498,12.38
581498,14498,30.95
581498,14498,6.19
581498,14498,6.19
581498,14498,55.71
581498,14498,198.08
581498,14498,37.14
581498,14498,18.57
581498,14498,37.14
581498,14498,49.52
581498,14498,136.18
581498,14498,49.52
581498,14498,61.9
581498,14498,55.71
581498,14498,18.57
581498,14498,6.19
581498,14498,18.57
581498,14498,61.9
581498,14498,6.19
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,7.24
581498,14498,43.44
581498,14498,7.24
581498,14498,7.24
581498,14498,14.48
581498,14498,72.4
581498,14498,12.38
581498,14498,24.16
581498,14498,6.04
581498,14498,6.19
581498,14498,6.19
581498,14498,24.76
581498,14498,24.76
581498,14498,24.76
581498,14498,18.57
581498,14498,18.57
581498,14498,6.19
581498,14498,6.19
581498,14498,160.94
581498,14498,6.19
581498,14498,6.19
581498,14498,12.38
581498,14498,18.57
581498,14498,6.19
581498,14498,6.19
581498,14498,6.19
581498,14498,30.85
581498,14498,24.76
581498,14498,6.19
581498,14498,6.19
581498,14498,18.57
581498,14498,49.52
581498,14498,12.38
581498,14498,7.24
581498,14498,12.38
581498,14498,37.14
581498,14498,37.14
581498,14498,30.95
581498,14498,24.76
581498,14498,18.57
581498,14498,24.76
581498,14498,7.24
581498,14498,7.24
581500,15344,28.96
581500,15344,28.96
581500,15344,14.48
581501,12985,1303.2
581501,12985,57.92
581501,12985,148.56
581501,12985,173.76
581501,12985,86.88
581501,12985,347.52
581501,12985,86.88
581501,12985,86.88
581501,12985,86.88
581501,12985,695.04
581501,12985,173.76
581501,12985,86.88
581501,12985,86.88
581501,12985,86.88
581501,12985,86.88
581501,12985,74.28
581501,12985,28.96
581501,12985,86.88
581501,12985,86.88
581501,12985,86.88
581501,12985,86.88
581501,12985,173.76
581501,12985,57.92
581501,12985,695.04
581502,15910,43.44
581502,15910,36.2
581502,15910,173.76
581502,15910,43.44
581502,15910,28.96
581502,15910,57.92
581502,15910,14.48
581502,15910,94.12
581502,15910,43.44
581502,15910,43.44
581502,15910,86.88
581502,15910,57.92
581502,15910,28.96
581502,15910,28.96
581502,15910,28.96
581502,15910,57.92
581502,15910,7.24
581502,15910,173.76
581502,15910,72.4
581502,15910,21.72
581514,17754,86.88
581514,17754,86.88
581514,17754,74.28
581514,17754,24.76
581514,17754,74.28
581514,17754,80.47
581514,17754,12.38
581514,17754,55.71
581514,17754,55.71
581514,17754,61.9
581514,17754,86.66
581514,17754,24.76
581514,17754,24.76
581514,17754,24.76
581514,17754,72.48
581514,17754,398.64
581514,17754,72.48
581514,17754,144.96
581514,17754,148.56
581514,17754,123.8
581514,17754,86.66
581514,17754,24.76
581514,17754,148.56
581514,17754,519.96
581516,14422,74.28
581516,14422,148.56
581516,14422,148.56
581516,14422,74.28
581516,14422,74.28
581516,14422,74.28
581516,14422,49.52
581516,14422,18.57
581516,14422,37.14
581516,14422,49.52
581516,14422,37.14
581516,14422,37.14
581516,14422,111.42
581516,14422,24.76
581516,14422,148.56
581538,14446,37.14
581538,14446,6.19
581538,14446,12.38
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,18.57
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,12.38
581538,14446,6.19
581538,14446,18.57
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
581538,14446,24.76
581538,14446,7.24
581538,14446,7.24
581538,14446,7.24
581538,14446,7.24
581538,14446,7.24
581538,14446,7.24
581538,14446,7.24
581538,14446,14.48
581538,14446,7.24
581538,14446,6.19
581538,14446,6.19
581538,14446,24.76
581538,14446,6.19
581538,14446,6.19
581538,14446,154.75
581538,14446,12.38
581538,14446,18.57
581538,14446,12.38
581538,14446,6.19
581538,14446,6.19
581538,14446,6.19
